x y
10 410.010000
20 1680.350000
30 3507.050000
40 6060.010000
50 9312.060000
60 14958.350000
70 33222.130000
80 41077.910000
90 45300.340000
100 51108.720000
110 56471.170000
120 61577.090000
130 66608.760000
140 68998.750000
150 71641.690000
160 75202.880000
170 76828.720000
180 80992.120000
190 84812.960000
200 90698.320000
210 97256.220000
220 104502.510000
230 113972.500000
240 124231.260000
250 134440.820000
260 145203.390000
270 157403.740000
280 169254.970000
290 180614.140000
300 194002.920000
310 207139.490000
320 219890.860000
330 235254.180000
340 249336.710000
350 264382.090000
360 279672.090000
370 295100.850000
380 311404.660000
390 326262.870000
400 343589.530000
410 360751.660000
420 379253.720000
430 396965.860000
440 416432.970000
450 435323.750000
460 454537.480000
470 477347.500000
480 494274.250000
490 514721.690000
500 536453.760000
510 558285.410000
520 578476.240000
530 600831.280000
540 624172.020000
550 647984.160000
560 672448.830000
570 696162.040000
580 721447.100000
590 746794.200000
600 770774.570000
610 795714.610000
620 826898.300000
630 848650.860000
640 876759.630000
650 906010.060000
660 931926.340000
670 959855.390000
680 989841.620000
690 1018015.820000
700 1049061.260000
710 1079459.560000
720 1108436.660000
730 1138015.770000
740 1167449.200000
750 1201366.210000
760 1237027.900000
770 1267445.850000
780 1301137.480000
790 1336815.020000
800 1370439.950000
810 1403235.410000
820 1438439.960000
830 1472690.780000
840 1508551.700000
850 1544446.260000
860 1582177.540000
870 1619876.250000
880 1657411.660000
890 1692597.070000
900 1729921.720000
910 1769428.690000
920 1808597.910000
930 1847380.930000
940 1886322.990000
950 1929087.050000
960 1966576.170000
970 2008018.320000
980 2053590.030000
990 2091480.860000
1000 2134643.780000
1010 2176039.140000
1020 2221101.670000
1030 2263452.030000
1040 2308399.930000
1050 2355215.430000
1060 2401877.450000
1070 2448201.260000
1080 2490640.400000
1090 2538270.390000
1100 2580196.180000
1110 2638393.780000
1120 2678315.350000
1130 2727300.430000
1140 2794819.130000
1150 2860320.820000
1160 2908144.560000
1170 2945864.130000
1180 3005025.450000
1190 3042187.920000
1200 3101852.900000
1210 3147091.720000
1220 3202123.740000
1230 3258982.120000
1240 3296867.480000
1250 3342214.600000
1260 3386885.000000
1270 3444932.910000
1280 3497978.720000
1290 3554950.780000
1300 3607655.830000
1310 3666432.540000
1320 3720252.950000
1330 3768303.340000
1340 3824419.190000
1350 3890039.160000
1360 3949037.480000
1370 4006890.760000
1380 4064542.450000
