x y
10 367.950000
20 1362.910000
30 3367.000000
40 5880.080000
50 15760.400000
60 24733.770000
70 28917.910000
80 38087.110000
90 42035.840000
100 49562.550000
110 52077.950000
120 61488.280000
130 64043.250000
140 66112.890000
150 63377.510000
160 73081.690000
170 77879.150000
180 81709.980000
190 88279.230000
200 93777.080000
210 101923.770000
220 110041.270000
230 120429.960000
240 131593.270000
250 142149.110000
260 154013.760000
270 165656.250000
280 178145.020000
290 190964.610000
300 204463.750000
310 218530.020000
320 230823.740000
330 246864.610000
340 260745.050000
350 277158.750000
360 293284.110000
370 309859.990000
380 325959.500000
390 344315.040000
400 360320.290000
410 377706.600000
420 398738.000000
430 416276.630000
440 437337.490000
450 457607.520000
460 478641.230000
470 503206.610000
480 521327.920000
490 543318.660000
500 564767.890000
510 587153.750000
520 610667.530000
530 634107.020000
540 658169.600000
550 682064.620000
560 706724.570000
570 733138.360000
580 759795.360000
590 786736.660000
600 812102.120000
610 839739.180000
620 871083.310000
630 896224.580000
640 923136.330000
650 953828.720000
660 979981.230000
670 1009421.650000
680 1039172.550000
690 1070640.440000
700 1125841.620000
710 1147856.280000
720 1169554.500000
730 1248806.610000
740 1234218.280000
750 1278036.240000
760 1298222.950000
770 1329759.530000
780 1368140.870000
790 1404079.660000
800 1439425.880000
810 1477605.910000
820 1525267.490000
830 1571943.360000
840 1609175.790000
850 1640336.690000
860 1659992.950000
870 1698440.360000
880 1737474.980000
890 1780686.230000
900 1820629.590000
910 1869292.110000
920 1905396.300000
930 1970742.490000
940 1986972.850000
950 2031105.030000
960 2061300.880000
970 2113245.470000
980 2158482.070000
990 2199675.420000
1000 2243640.770000
1010 2282110.410000
1020 2337567.910000
1030 2379082.500000
1040 2424055.390000
1050 2468807.100000
1060 2520951.250000
1070 2565557.590000
1080 2618572.940000
1090 2665013.320000
1100 2711379.140000
1110 2763689.160000
1120 2817559.900000
1130 2862649.560000
1140 2914674.600000
1150 2965512.860000
1160 3016463.680000
1170 3069605.500000
1180 3117222.480000
1190 3168302.940000
1200 3225855.840000
1210 3281720.850000
1220 3340146.600000
1230 3393354.160000
1240 3449539.970000
1250 3505361.640000
1260 3555446.240000
1270 3615382.090000
1280 3671232.130000
1290 3729257.560000
1300 3790216.680000
1310 3847215.790000
1320 3910866.240000
1330 3960448.350000
1340 4019340.820000
1350 4086651.650000
1360 4145319.590000
1370 4203483.770000
1380 4269534.600000
1390 4322968.360000
1400 4395547.520000
1410 4451999.510000
1420 4550633.370000
1430 4659747.450000
1440 4648049.590000
1450 4704535.030000
1460 4768332.920000
1470 4843247.910000
1480 4902752.910000
1490 4974700.000000
1500 5031324.570000
1510 5101415.020000
1520 5171924.540000
1530 5243548.290000
1540 5308103.340000
1550 5379157.540000
1560 5444025.410000
1570 5516833.320000
1580 5588594.130000
1590 5660950.000000
